time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-26T23:34:38Z|0.000s,video,0.144784287,0.482176423,0.000000466,0.163211957,0.445726156,-0.018511508,0.168509185,0.390143067,-0.028119775,0.158105552,0.349718660,-0.037425075,0.136692166,0.320690513,-0.047308605,0.141038805,0.328375101,-0.024251470,0.130748063,0.256196469,-0.045851789,0.123090051,0.204837069,-0.061986268,0.116821587,0.162744194,-0.072174720,0.119515851,0.332922965,-0.026916284,0.106383607,0.256120950,-0.046995461,0.102281548,0.201412931,-0.061337236,0.101411209,0.153971583,-0.070514560,0.100745246,0.352614373,-0.031360958,0.083416022,0.288723886,-0.053736832,0.095029384,0.286538571,-0.059007388,0.110602155,0.296347141,-0.058314543,0.083885327,0.384492636,-0.037554804,0.069216684,0.342010140,-0.057098661,0.077526718,0.327411503,-0.060556941,0.091637567,0.325971782,-0.059548669
2025-11-26T23:34:39Z|0.100s,video,0.144233420,0.484804481,0.000000499,0.161618024,0.439988732,-0.017846761,0.163559631,0.380592883,-0.027776275,0.149290085,0.336728185,-0.038051561,0.120470248,0.313546538,-0.048774332,0.123430416,0.317172438,-0.022814266,0.108358569,0.243889615,-0.042863131,0.098675705,0.193884462,-0.057852987,0.089597404,0.152494967,-0.067946777,0.100042254,0.324021041,-0.028148126,0.077562451,0.240249515,-0.048090678,0.072913945,0.183995098,-0.061938152,0.069561422,0.139158741,-0.071089864,0.080746919,0.349372953,-0.035036199,0.055303637,0.276081979,-0.061469208,0.077349067,0.289048970,-0.065564096,0.097853087,0.314447492,-0.062937044,0.065247893,0.389126688,-0.043266997,0.044358566,0.342500418,-0.067710698,0.061935194,0.347384363,-0.069408625,0.080827326,0.369656861,-0.066103406
2025-11-26T23:34:41Z|0.200s,video,0.148249641,0.500633299,0.000000407,0.162516594,0.451761156,-0.013828504,0.163556203,0.392068565,-0.022424089,0.154346511,0.350518733,-0.033184242,0.130052000,0.324871391,-0.043720268,0.108899526,0.323270410,-0.010216400,0.089643516,0.254538774,-0.028171079,0.082269497,0.207064256,-0.041374732,0.076428764,0.165916711,-0.049908247,0.089554504,0.332152545,-0.017237477,0.063746691,0.253767997,-0.035367552,0.066728815,0.202005148,-0.047196958,0.070497230,0.163069308,-0.054616783,0.074192576,0.359182835,-0.026724614,0.053809408,0.291780442,-0.052679032,0.085579246,0.306866199,-0.055847142,0.110667981,0.333186656,-0.051934801,0.062650844,0.398987561,-0.037457425,0.041458189,0.358268559,-0.059417617,0.062930450,0.357927531,-0.060342807,0.084635444,0.373257905,-0.056711528
2025-11-26T23:34:43Z|0.300s,video,0.152171612,0.518292248,0.000000320,0.161896050,0.455313414,-0.008587321,0.155400574,0.386273563,-0.015578026,0.143998027,0.336643428,-0.025449241,0.129087478,0.299300671,-0.034752004,0.102914795,0.333953381,-0.004050924,0.092351556,0.275035143,-0.022308948,0.093447372,0.235675007,-0.035852093,0.095244139,0.200529501,-0.044311672,0.086410746,0.346206307,-0.012841209,0.071767040,0.276844949,-0.030783175,0.081831321,0.234115332,-0.040613689,0.090707339,0.198644683,-0.046016987,0.074026525,0.374052644,-0.024230091,0.073551029,0.318011254,-0.049582299,0.107462332,0.339271128,-0.049202751,0.129923284,0.364102602,-0.042710423,0.068533495,0.412038177,-0.036592465,0.065764934,0.376556903,-0.055350471,0.087077402,0.381755531,-0.052858990,0.103674509,0.396382987,-0.046946269
2025-11-26T23:34:44Z|0.400s,video,0.136292949,0.551929235,0.000000050,0.148811623,0.473120838,-0.004349295,0.146765605,0.410615325,-0.013348602,0.143010050,0.366351187,-0.025692401,0.138251722,0.327943295,-0.037806764,0.090025648,0.367853701,-0.006548499,0.091038212,0.300104469,-0.026817413,0.106508136,0.262376279,-0.042078603,0.121111169,0.234792516,-0.052292593,0.080560163,0.385378659,-0.016827166,0.091296978,0.323979676,-0.040661909,0.123522438,0.330807239,-0.051003005,0.144090027,0.346432596,-0.054866459,0.080850318,0.410188586,-0.028891372,0.094666228,0.357471257,-0.050376434,0.124513410,0.364647180,-0.049814280,0.142355114,0.380651981,-0.045829646,0.090304166,0.440967649,-0.041942857,0.099745452,0.412654459,-0.056971930,0.115212724,0.412034392,-0.056491859,0.123000465,0.420598328,-0.053554989
2025-11-26T23:34:46Z|0.500s,video,0.114250191,0.566075802,0.000000359,0.144272193,0.482761443,0.000686260,0.157281727,0.410658658,-0.010184878,0.167235062,0.360358685,-0.025316294,0.178823173,0.316680253,-0.042578943,0.103366002,0.370627910,-0.026534766,0.116817236,0.303514719,-0.054500058,0.135100439,0.269547582,-0.072952233,0.154928714,0.246118948,-0.084908023,0.094271481,0.391363949,-0.043584153,0.111446954,0.317425042,-0.070523165,0.138370246,0.284165204,-0.085237727,0.162693188,0.266750038,-0.095121264,0.094618961,0.428517401,-0.060504820,0.122654207,0.373659134,-0.089874089,0.155025706,0.376091331,-0.095932424,0.175852507,0.388011783,-0.097362526,0.103870034,0.473585576,-0.076883771,0.130835518,0.449765205,-0.100236297,0.150008291,0.448381364,-0.103485107,0.161106065,0.456212759,-0.103538692
2025-11-26T23:34:47Z|0.600s,video,0.109168321,0.560720146,0.000000186,0.125867143,0.479390621,0.008730309,0.141172618,0.406228304,0.000639617,0.158384144,0.358995259,-0.011177978,0.175941795,0.325298131,-0.024944581,0.111947954,0.368014216,-0.028802380,0.146018997,0.302765280,-0.051305972,0.177269340,0.284577906,-0.063826360,0.202137351,0.280285060,-0.072011329,0.110034704,0.394440800,-0.046461523,0.154816508,0.329541624,-0.064635605,0.186911121,0.327327728,-0.070189573,0.204235032,0.333926916,-0.076054782,0.114457116,0.432403624,-0.062658988,0.153707743,0.378323376,-0.080176547,0.183036357,0.381322503,-0.078104712,0.198670581,0.387769580,-0.077822112,0.123124123,0.474295080,-0.077549569,0.146447763,0.442622960,-0.090747170,0.166040286,0.438062698,-0.088137552,0.176611155,0.440818012,-0.086533397
2025-11-26T23:34:49Z|0.700s,video,0.114462651,0.550175011,0.000000380,0.141743630,0.525739849,-0.031983286,0.161751717,0.478643030,-0.050814379,0.180595368,0.440222532,-0.065287665,0.195922554,0.410064280,-0.078109547,0.131221265,0.382095188,-0.038948756,0.169560909,0.317363381,-0.061094180,0.206121892,0.296493590,-0.076565720,0.235360831,0.292129278,-0.085087553,0.127805978,0.377883315,-0.031352177,0.169731498,0.312741190,-0.049974956,0.206428647,0.297332048,-0.060244326,0.237021804,0.292502522,-0.066222079,0.132770985,0.380096376,-0.026340056,0.169654563,0.318305880,-0.043261208,0.204178900,0.302868664,-0.048407219,0.233925849,0.297299176,-0.050358586,0.142288804,0.388640702,-0.023959180,0.169995770,0.339980185,-0.035401519,0.197990686,0.327508450,-0.035857998,0.220880836,0.325328350,-0.034365054
2025-11-26T23:34:50Z|0.800s,video,0.124717131,0.528270721,0.000000554,0.153829947,0.533675611,-0.051332198,0.174391389,0.510389149,-0.080490440,0.189642906,0.481905103,-0.100807495,0.201794773,0.451286316,-0.119893849,0.158724651,0.398045778,-0.069877028,0.201565459,0.342785031,-0.095746890,0.237909004,0.323669016,-0.112771869,0.266840041,0.314840019,-0.122035302,0.150472611,0.375539273,-0.052150834,0.196555018,0.323116004,-0.077177353,0.237678051,0.312206835,-0.090393946,0.270941526,0.316659063,-0.097230442,0.152251035,0.367568672,-0.036896665,0.187781125,0.312043667,-0.058125611,0.224803716,0.296548188,-0.069539435,0.257918626,0.296624482,-0.075312361,0.159760669,0.367312521,-0.025181696,0.186278120,0.322293848,-0.040749442,0.215656877,0.308328271,-0.047649354,0.242396861,0.308194816,-0.050549779
2025-11-26T23:34:52Z|0.900s,video,0.142109022,0.513330758,0.000000565,0.171331331,0.514501393,-0.050790779,0.195533916,0.485906303,-0.078086510,0.221105158,0.453439832,-0.094868660,0.237796694,0.420901895,-0.109280162,0.179507345,0.387024850,-0.072330900,0.227206916,0.336793631,-0.095897093,0.265175194,0.325549155,-0.108559981,0.293141723,0.325361580,-0.114029065,0.170843527,0.363073617,-0.051435702,0.221034676,0.315459073,-0.071809225,0.260110736,0.314140618,-0.078009889,0.287672192,0.325202644,-0.079919182,0.170961484,0.356144965,-0.032689735,0.211552501,0.305132627,-0.051004935,0.246615320,0.298631191,-0.057714161,0.273822844,0.305041373,-0.060113836,0.177031726,0.357187212,-0.017116349,0.207094133,0.315752685,-0.030992538,0.233831346,0.308504492,-0.035570681,0.255817711,0.312480152,-0.036515910
