time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-26T23:40:10Z|0.000s,video,0.095991865,0.490518123,0.000000401,0.120381713,0.473112285,-0.031485543,0.138876349,0.439780623,-0.048394851,0.154234305,0.410726488,-0.060956005,0.166310787,0.380042881,-0.072590470,0.121964902,0.329279661,-0.031548448,0.158587605,0.284317821,-0.052337799,0.187107772,0.255166531,-0.070313387,0.211608410,0.232988775,-0.082245342,0.123613894,0.320429534,-0.025395107,0.156039134,0.274054885,-0.044515170,0.185344130,0.246681482,-0.058944151,0.213092402,0.225005850,-0.068007752,0.129940912,0.327384561,-0.022168549,0.156169266,0.282650232,-0.040537350,0.176003546,0.258543462,-0.049928196,0.194421202,0.240428209,-0.055021327,0.138953730,0.344198525,-0.021755120,0.156018049,0.318439901,-0.036929052,0.171241313,0.306516558,-0.041845314,0.185682178,0.298707068,-0.043545537
2025-11-26T23:40:13Z|0.100s,video,0.096758813,0.532247066,0.000000164,0.133876294,0.514213920,-0.019179853,0.167505607,0.469527423,-0.024722826,0.193154007,0.440225750,-0.027163729,0.213397294,0.427800030,-0.028226297,0.158859104,0.371103227,-0.009008332,0.207037136,0.347497553,-0.017338917,0.240329981,0.347139865,-0.027615959,0.265442640,0.351863563,-0.035428450,0.160039827,0.363621652,-0.004219034,0.209642708,0.341118634,-0.008965150,0.241389215,0.343000740,-0.017162135,0.266655803,0.350379765,-0.023982814,0.163221002,0.370652229,-0.001870002,0.209931448,0.347357243,-0.008487118,0.235849038,0.350221336,-0.015535161,0.254916966,0.358143121,-0.020503424,0.168128952,0.387082756,-0.001506324,0.200934559,0.369060695,-0.007288035,0.217747748,0.373273522,-0.009332739,0.229062796,0.381867826,-0.010020750
2025-11-26T23:40:16Z|0.200s,video,0.098649874,0.550774038,0.000000353,0.123201296,0.482385457,-0.000495154,0.163628072,0.434192419,-0.011622604,0.202956051,0.423789352,-0.024459627,0.233710915,0.427543730,-0.037318271,0.166944474,0.388230801,-0.029415715,0.227319777,0.379901469,-0.047414463,0.262228251,0.379299700,-0.059049163,0.289534181,0.378245890,-0.067962773,0.170824677,0.421488017,-0.041172463,0.236755922,0.412282586,-0.057069801,0.267923981,0.415179908,-0.063003682,0.288730592,0.415513337,-0.069214769,0.175121412,0.467814356,-0.051700775,0.234871089,0.466155857,-0.066247441,0.219772339,0.480600804,-0.061861262,0.199079841,0.487847865,-0.058422167,0.180123597,0.519924521,-0.062372323,0.220178142,0.511962831,-0.072256088,0.208595261,0.515759647,-0.067242503,0.191760197,0.517771482,-0.062920369
2025-11-26T23:40:20Z|0.300s,video,0.099001259,0.544479191,0.000000508,0.125506878,0.475200176,0.000412448,0.167687744,0.432906270,-0.010872935,0.208323658,0.429254919,-0.024321614,0.235459879,0.435997069,-0.037343886,0.164302826,0.391687065,-0.026420761,0.222528577,0.374708921,-0.043459747,0.257109821,0.371074826,-0.054805145,0.285754532,0.369051784,-0.063505799,0.170793772,0.429995209,-0.038498774,0.233901411,0.412991941,-0.054359596,0.272253394,0.408338904,-0.061446439,0.301670283,0.403064817,-0.068754889,0.176121309,0.477724046,-0.049361046,0.238972440,0.459963083,-0.063487701,0.226387307,0.472271323,-0.058073651,0.205673903,0.482846737,-0.053680077,0.182156250,0.527961910,-0.060494430,0.224903971,0.510243356,-0.070111491,0.214493945,0.512084901,-0.064765342,0.197622299,0.517341912,-0.059977438
2025-11-26T23:40:23Z|0.400s,video,0.108013421,0.543492854,0.000000512,0.132584900,0.476373345,0.000636191,0.172600865,0.431681156,-0.010113657,0.213216722,0.420449823,-0.022184182,0.242873967,0.418321788,-0.033582598,0.168345168,0.392043263,-0.030744370,0.229582787,0.376486391,-0.047358859,0.264320046,0.372974485,-0.056749549,0.292246640,0.371691257,-0.063543476,0.172123104,0.432477176,-0.041655291,0.238414824,0.416395098,-0.057927359,0.277934939,0.412857085,-0.063310735,0.307660460,0.409695864,-0.068998210,0.176135197,0.480236024,-0.050798051,0.240270644,0.466506422,-0.064067699,0.230234325,0.475781351,-0.057175189,0.210910305,0.483063906,-0.051983539,0.181456447,0.528730512,-0.060001850,0.227685139,0.513617218,-0.068368316,0.218336955,0.515349209,-0.061841864,0.201384559,0.519168019,-0.056251168
2025-11-26T23:40:26Z|0.500s,video,0.106855832,0.561878145,0.000000536,0.129060924,0.495409131,-0.004281253,0.168285593,0.449275345,-0.019521033,0.208716616,0.438046336,-0.034648210,0.240256771,0.435609013,-0.049028330,0.161130369,0.411686718,-0.043894343,0.221020624,0.394979447,-0.065679274,0.256073445,0.388598025,-0.079693936,0.286381006,0.383831888,-0.089837648,0.165191159,0.454880029,-0.053426675,0.232050806,0.435331732,-0.075252086,0.272648990,0.430049598,-0.083206385,0.306146801,0.426887810,-0.090622529,0.171556935,0.503861368,-0.060663994,0.236374423,0.489640057,-0.076206431,0.219028905,0.494689137,-0.066174351,0.195207551,0.500277281,-0.058805168,0.179463789,0.551143169,-0.068544097,0.225539610,0.533398509,-0.077619202,0.212463140,0.533613920,-0.068300985,0.193849683,0.536554158,-0.060717840
2025-11-26T23:40:30Z|0.600s,video,0.104103237,0.580305159,0.000000554,0.127119839,0.515476882,-0.005574973,0.167743251,0.469071209,-0.021638995,0.210316733,0.454996765,-0.037115719,0.243276015,0.449231029,-0.051914509,0.155780762,0.430093080,-0.047194328,0.215575173,0.413945377,-0.070704103,0.251658976,0.409483135,-0.085206345,0.282351404,0.406598091,-0.095336445,0.159830540,0.474012166,-0.056978062,0.229221344,0.453560472,-0.080248542,0.268902361,0.450131834,-0.087805741,0.300503135,0.447535187,-0.094472364,0.166424274,0.523306727,-0.064670593,0.232974812,0.512404263,-0.082627527,0.214679420,0.520290732,-0.072693102,0.190018997,0.524764478,-0.064792067,0.174321458,0.571058512,-0.072921373,0.220993102,0.557524979,-0.083983369,0.206405431,0.560228229,-0.074732184,0.186490521,0.562544644,-0.066832229
2025-11-26T23:40:33Z|0.700s,video,0.102378048,0.577618778,0.000000612,0.122799188,0.504782438,0.001561533,0.165652484,0.463711083,-0.018565105,0.208268613,0.449979544,-0.036592063,0.241678670,0.444090128,-0.054531973,0.155155703,0.429304451,-0.074922048,0.219278097,0.417400181,-0.095497705,0.255594254,0.415560931,-0.102439344,0.285437107,0.414351940,-0.107879274,0.157293767,0.474381775,-0.087175354,0.229406178,0.456890881,-0.107833259,0.270481765,0.452002645,-0.106767975,0.301620990,0.448569119,-0.109605417,0.164201885,0.523803413,-0.093435541,0.231068939,0.511321843,-0.098948851,0.213245913,0.518202603,-0.075638294,0.188455567,0.526133537,-0.063903511,0.172710150,0.573032558,-0.100123852,0.220752567,0.555170834,-0.100277573,0.206171572,0.556381643,-0.082268618,0.186874568,0.562656403,-0.071036994
2025-11-26T23:40:36Z|0.800s,video,0.097504728,0.577411294,0.000000615,0.117799021,0.504929543,0.003982229,0.158430159,0.465362638,-0.014064319,0.200260654,0.453105241,-0.030886188,0.231635466,0.447687179,-0.047489718,0.151940495,0.428660244,-0.066711344,0.217397884,0.415898144,-0.085660942,0.253369331,0.413073361,-0.092262059,0.282702684,0.411200792,-0.097297594,0.154848993,0.474294424,-0.079603702,0.226149827,0.456490815,-0.099711858,0.268320501,0.450474411,-0.099481992,0.301107407,0.447728366,-0.102190249,0.161935672,0.524082065,-0.086586379,0.228539079,0.511953294,-0.092090510,0.211267158,0.517644048,-0.069769934,0.186989486,0.525582135,-0.057834677,0.170235246,0.573574901,-0.093838342,0.217694134,0.556503177,-0.093586519,0.203192055,0.557099760,-0.075472228,0.184061378,0.562725067,-0.063491359
2025-11-26T23:40:40Z|0.900s,video,0.090858541,0.588356018,0.000000609,0.112983420,0.521194160,-0.003894676,0.153295085,0.476388216,-0.020533303,0.196235701,0.465678275,-0.037061062,0.227919802,0.462186068,-0.052992478,0.146340504,0.438014627,-0.047677506,0.207406059,0.423651189,-0.071938612,0.243750662,0.420663476,-0.087436952,0.274670303,0.419811368,-0.098272748,0.149652511,0.481483847,-0.058548402,0.220518783,0.462837368,-0.083092071,0.263096958,0.455567360,-0.092301734,0.297888041,0.449571133,-0.100392185,0.155595839,0.531834900,-0.066824511,0.227265000,0.518799126,-0.084156245,0.209582061,0.525945723,-0.072920308,0.184603572,0.532378793,-0.064476401,0.162962034,0.581397951,-0.075728916,0.214823365,0.565043569,-0.086138763,0.200873390,0.567254364,-0.075633287,0.180901483,0.570858598,-0.066804610
