time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-26T23:53:49Z|0.000s,video,0.189477265,0.571992278,-0.000000376,0.222409159,0.546872735,-0.010443194,0.246519864,0.491089940,-0.013524421,0.251287103,0.439748675,-0.018120425,0.237319365,0.404966921,-0.020353163,0.226644769,0.425504178,-0.001381735,0.230369270,0.375685185,-0.020780426,0.228083402,0.404194385,-0.031139601,0.225878879,0.437817812,-0.032813534,0.201631352,0.416470885,-0.003298074,0.204639122,0.362728298,-0.031244511,0.204093114,0.416952968,-0.041132968,0.202417120,0.464777291,-0.038617410,0.176071137,0.412753314,-0.008156780,0.175173432,0.351453334,-0.033846974,0.178997457,0.397822291,-0.036014404,0.181702375,0.440537900,-0.027829785,0.149173707,0.415959716,-0.013503056,0.140506789,0.354176283,-0.028923158,0.136772215,0.313333631,-0.034078948,0.135368988,0.274601340,-0.033384673
2025-11-26T23:53:52Z|0.100s,video,0.187587127,0.534762144,-0.000000109,0.220761880,0.503694177,-0.011471391,0.246038109,0.452425003,-0.014829973,0.255486161,0.397404104,-0.019158727,0.237515256,0.362388343,-0.022163557,0.223529801,0.392824829,0.002672097,0.231557369,0.343502373,-0.011674789,0.232302129,0.350144804,-0.020726604,0.231465086,0.364679098,-0.023472892,0.203004375,0.379102200,0.002511519,0.213358209,0.317804039,-0.017754188,0.212834105,0.354850173,-0.026421931,0.210329413,0.391506165,-0.025327675,0.182584912,0.372963041,-0.000506299,0.190397277,0.307387412,-0.020750586,0.192936257,0.341017485,-0.022749716,0.191851974,0.377309680,-0.016691618,0.160677910,0.375510335,-0.004243774,0.157435939,0.317444354,-0.017095836,0.158510715,0.290642262,-0.020575559,0.160233319,0.271692693,-0.019379959
2025-11-26T23:53:55Z|0.200s,video,0.181523681,0.497651577,-0.000000058,0.215576589,0.468099058,-0.019967349,0.240621150,0.419100404,-0.026899267,0.254161894,0.365059108,-0.032944888,0.244249910,0.321241796,-0.035548780,0.202805445,0.354306847,-0.002655456,0.215772167,0.295945078,-0.019217707,0.217504710,0.321440309,-0.030594632,0.214306891,0.349210441,-0.034274619,0.189922646,0.343330979,0.002955267,0.208460182,0.276891828,-0.017200768,0.209501490,0.315151095,-0.028756395,0.206885830,0.350249916,-0.030266244,0.180217981,0.338328630,0.005124414,0.199162036,0.268999636,-0.014084086,0.202330619,0.303472787,-0.018549720,0.200320706,0.340219289,-0.014350612,0.172000960,0.338395178,0.006067032,0.182948828,0.286361307,-0.005249254,0.188059360,0.278219312,-0.008500578,0.190864488,0.276759654,-0.006880394
2025-11-26T23:53:59Z|0.300s,video,0.183693394,0.474844068,-0.000000181,0.213597491,0.448986828,-0.023357091,0.237638205,0.402555823,-0.028749658,0.251126915,0.347293079,-0.030185292,0.242832631,0.306331009,-0.028240191,0.205654427,0.348127127,-0.013968004,0.218804121,0.294232875,-0.024036707,0.223750234,0.306385875,-0.028661033,0.223523453,0.322327673,-0.028634170,0.195431948,0.330930442,-0.004346759,0.209460884,0.268844545,-0.019570807,0.211992174,0.310233623,-0.026217565,0.212042198,0.341957182,-0.025691025,0.187421292,0.319989532,0.002663980,0.201399937,0.255666494,-0.013972237,0.205284879,0.292835802,-0.017649554,0.203488246,0.330217004,-0.014414948,0.179373711,0.316894352,0.008456000,0.184548691,0.252048552,-0.003227463,0.190809712,0.215041071,-0.010457730,0.194768533,0.187941581,-0.013262489
2025-11-26T23:54:02Z|0.400s,video,0.179661945,0.473686367,0.000000042,0.206185877,0.445286781,-0.029768292,0.225747928,0.400491774,-0.037234332,0.236673862,0.349401981,-0.040299855,0.230406359,0.308516622,-0.040374216,0.190948322,0.334064096,-0.013183362,0.188987985,0.264692187,-0.023340493,0.188325107,0.233236939,-0.027664471,0.188423783,0.211345404,-0.029067470,0.185337722,0.324691117,-0.001928765,0.190402806,0.260056794,-0.024148546,0.192051813,0.299871683,-0.031447198,0.194600880,0.334724993,-0.028351909,0.182688922,0.321241826,0.005681062,0.189130083,0.255801469,-0.019387098,0.192354441,0.295239091,-0.023281259,0.195008814,0.332298547,-0.016657423,0.180765599,0.322032839,0.011634285,0.191680059,0.273553669,-0.005555523,0.199667796,0.259485900,-0.012405443,0.204412624,0.251945317,-0.012549771
2025-11-26T23:54:05Z|0.500s,video,0.180145741,0.481824964,0.000000071,0.188689858,0.448842883,-0.028210955,0.202304810,0.402381599,-0.035648722,0.216316029,0.354736269,-0.040538613,0.216588587,0.319828272,-0.042194765,0.178118557,0.335163504,-0.004426454,0.171960086,0.262210965,-0.017517172,0.171592742,0.220620155,-0.026918920,0.174345657,0.186830997,-0.032943234,0.184367076,0.332417607,0.003075203,0.186245382,0.275488704,-0.025650222,0.184934586,0.312563539,-0.039259750,0.185803950,0.348002970,-0.039527833,0.191209272,0.335342824,0.006581191,0.194675431,0.278215766,-0.022290144,0.190557614,0.316521317,-0.027859354,0.190163717,0.353671283,-0.021275071,0.196822882,0.342034698,0.007949997,0.204540804,0.308082968,-0.010544810,0.205138594,0.306568742,-0.016058732,0.206962973,0.310327172,-0.014031347
2025-11-26T23:54:09Z|0.600s,video,0.174150020,0.512478352,-0.000000290,0.203717694,0.491354525,-0.013083418,0.225740194,0.447429538,-0.014334019,0.234302804,0.402363181,-0.016756428,0.233723596,0.367257953,-0.017062373,0.216129154,0.381064802,0.007038632,0.223861292,0.327771246,-0.006314318,0.224630773,0.327683985,-0.014331710,0.224928796,0.330456913,-0.017478857,0.194968238,0.369003803,0.006978977,0.192752138,0.307887673,-0.020363180,0.187813014,0.350237131,-0.033338986,0.187248170,0.389535576,-0.033138059,0.177031994,0.360992312,0.003403991,0.176708147,0.294680864,-0.026096949,0.175725371,0.336930662,-0.034240831,0.177760154,0.379259497,-0.029276421,0.161609054,0.356715888,-0.000644396,0.169223234,0.301364034,-0.021583831,0.172424257,0.266781598,-0.032991789,0.177031070,0.238669157,-0.036490623
2025-11-26T23:54:12Z|0.700s,video,0.185349852,0.549314439,-0.000000063,0.205562487,0.523677289,-0.025283292,0.222975269,0.474560022,-0.026843352,0.230689868,0.423157424,-0.025054574,0.223229215,0.385378420,-0.019817499,0.186359361,0.403218657,-0.001747381,0.177895352,0.333751172,-0.011169440,0.174737275,0.298742354,-0.016361244,0.174096793,0.273019344,-0.018798569,0.181922376,0.398281008,0.007718067,0.183745518,0.341002375,-0.017698091,0.186879918,0.385536194,-0.028659441,0.189438358,0.426245779,-0.026819048,0.178891465,0.397487968,0.013495829,0.186393619,0.339025319,-0.016032148,0.189324707,0.385220617,-0.022734366,0.190442830,0.425650328,-0.016323460,0.175338730,0.398796052,0.018061014,0.190154254,0.357201874,-0.005246407,0.201491252,0.345105588,-0.016130557,0.209865928,0.335469306,-0.017711097
2025-11-26T23:54:15Z|0.800s,video,0.189820364,0.584422231,-0.000000392,0.222004905,0.564993382,-0.020893963,0.246160686,0.520544648,-0.028535549,0.247732893,0.475100756,-0.036893010,0.231635362,0.445731163,-0.042471021,0.229483843,0.450178683,-0.004591854,0.227296010,0.406714648,-0.029156780,0.220330030,0.436568022,-0.043882091,0.214992389,0.468500108,-0.047101490,0.205900371,0.437871724,-0.002678959,0.203318864,0.393974453,-0.034887448,0.197754472,0.445427865,-0.049961418,0.194908574,0.487715811,-0.050003141,0.182082519,0.428823769,-0.005057196,0.180806205,0.376655072,-0.035300769,0.179968551,0.427273840,-0.041479304,0.181231707,0.473413289,-0.033688977,0.157380849,0.425201833,-0.008906568,0.159196883,0.357986003,-0.023110537,0.161541134,0.316165060,-0.027584584,0.165431350,0.281240284,-0.025564991
2025-11-26T23:54:18Z|0.900s,video,0.198943540,0.628554821,-0.000000480,0.233850300,0.603544116,-0.007846751,0.257662416,0.559697509,-0.004294813,0.253156602,0.514115810,-0.003297960,0.237643108,0.486740708,-0.000070534,0.223726898,0.493652523,0.017379515,0.223120034,0.449010462,0.001677890,0.222738504,0.478554010,-0.008082371,0.221604556,0.507359743,-0.008894828,0.203236878,0.483613908,0.016775068,0.203537509,0.434144795,-0.009622942,0.204201609,0.489402652,-0.023661980,0.203157291,0.530941486,-0.023134433,0.182044700,0.475320369,0.012553319,0.183783233,0.426357180,-0.016455794,0.188090816,0.479695350,-0.025250789,0.188324630,0.520420909,-0.018993897,0.158958077,0.470348954,0.008583802,0.154735297,0.402371198,-0.008438973,0.155423224,0.364341676,-0.016455775,0.157610506,0.328552425,-0.016585857
