time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:20:36Z|0.000s,video,0.105437346,0.254058033,0.000000315,0.154423028,0.275086194,0.002330199,0.203567803,0.277167857,-0.007196753,0.236562371,0.293697655,-0.021752795,0.266463041,0.324232221,-0.035586268,0.228154421,0.148562610,-0.004721131,0.272142768,0.178711250,-0.028884873,0.293321222,0.225622952,-0.045017097,0.302191615,0.268325448,-0.053735204,0.217696339,0.127172962,-0.019051012,0.279261291,0.180161729,-0.042420067,0.293756127,0.241707861,-0.050219454,0.296684206,0.284430206,-0.051484577,0.201327980,0.124339134,-0.034424674,0.242969766,0.213551536,-0.058231514,0.218526945,0.260947376,-0.053365283,0.194963902,0.275032014,-0.043638323,0.181551069,0.138507038,-0.050138347,0.210254550,0.211143330,-0.062247202,0.199696526,0.248803005,-0.052779656,0.187868580,0.260877579,-0.041716073
2025-11-27T00:20:38Z|0.100s,video,0.107023343,0.215048417,0.000000363,0.163129196,0.246829689,0.003436854,0.212555125,0.252870619,-0.008906056,0.243656635,0.279958487,-0.027509743,0.269986361,0.312233180,-0.044883277,0.237426877,0.124423593,0.001176941,0.286543995,0.125045210,-0.027810071,0.309708357,0.163810238,-0.050444700,0.313974202,0.204832360,-0.063466758,0.228206873,0.106276907,-0.016152024,0.284203708,0.181970209,-0.047137327,0.281795204,0.251074195,-0.058712848,0.271875709,0.285668045,-0.061208438,0.213982329,0.110302471,-0.035469797,0.253945827,0.203697741,-0.057924572,0.223024011,0.238676116,-0.051279403,0.197331578,0.234137475,-0.042309385,0.198099092,0.129907161,-0.056144308,0.223691627,0.209918216,-0.066635035,0.202258781,0.229201406,-0.057255458,0.184819579,0.214728877,-0.047498092
2025-11-27T00:20:40Z|0.200s,video,0.105520368,0.189892083,0.000000291,0.159005985,0.224660024,0.004984568,0.210461378,0.241655782,-0.004037872,0.244769096,0.277804166,-0.019398661,0.273233265,0.317217171,-0.032985315,0.243437707,0.128255010,0.008092686,0.296063006,0.151582211,-0.017453738,0.305456966,0.209267721,-0.035747066,0.299999893,0.249243587,-0.045263097,0.239206403,0.109811194,-0.009624751,0.308288217,0.128074422,-0.031314198,0.315321654,0.183931947,-0.040660687,0.310537487,0.220242128,-0.042653978,0.226812229,0.109087601,-0.029592810,0.268277407,0.190143615,-0.046945456,0.240097687,0.221973985,-0.044023935,0.217723146,0.217397258,-0.038151491,0.211859301,0.125779957,-0.050652806,0.229352325,0.207156032,-0.057935148,0.207506076,0.219358489,-0.052629985,0.191792786,0.200145021,-0.047118768
2025-11-27T00:20:42Z|0.300s,video,0.113429725,0.185732380,0.000000216,0.172680676,0.229828790,0.008300945,0.223303154,0.252447516,0.001609926,0.253908575,0.290039778,-0.012188476,0.277618736,0.328739762,-0.024146477,0.262814015,0.137411565,0.010696948,0.318206489,0.157046199,-0.011390685,0.326221466,0.206731766,-0.027866716,0.318585515,0.243254513,-0.036679268,0.255725324,0.118689179,-0.007720817,0.324477464,0.148948923,-0.026071295,0.324656785,0.206790239,-0.034129795,0.313024819,0.244673878,-0.036038246,0.241233647,0.118938364,-0.027874853,0.285974115,0.196562976,-0.039958507,0.268827230,0.232898384,-0.036291394,0.252247185,0.239205688,-0.031772427,0.223794580,0.137458235,-0.049279213,0.242807671,0.218297675,-0.052605066,0.228322774,0.235002905,-0.046891570,0.215998501,0.225606948,-0.042020321
2025-11-27T00:20:44Z|0.400s,video,0.124226063,0.189667046,0.000000207,0.184536695,0.239034027,0.013072928,0.232394114,0.267158389,0.005993810,0.260596812,0.308142513,-0.009774612,0.282209158,0.348645598,-0.024159735,0.274431527,0.156044379,0.014130574,0.327226669,0.181753993,-0.007596827,0.334323347,0.231102377,-0.023994634,0.326103866,0.266399860,-0.033289451,0.268112957,0.136776760,-0.007537076,0.333869755,0.180683419,-0.025915110,0.328596532,0.236133546,-0.033289734,0.315090001,0.265985519,-0.035307497,0.253926575,0.136093289,-0.030593527,0.293364137,0.223271191,-0.042600684,0.269137949,0.252957910,-0.036620766,0.249725625,0.248042136,-0.031240365,0.235611111,0.153231353,-0.054588497,0.250663698,0.238166928,-0.058224164,0.231604069,0.251123816,-0.050683517,0.217685431,0.235017538,-0.044866584
2025-11-27T00:20:46Z|0.500s,video,0.131562695,0.196541071,0.000000198,0.190977976,0.248751193,0.015668618,0.236582786,0.279819161,0.009257199,0.262869835,0.322358191,-0.006545096,0.282750726,0.364670753,-0.021169052,0.283242583,0.172801316,0.017340422,0.330687612,0.206861183,-0.005797412,0.334616244,0.256084681,-0.023129679,0.324634135,0.289655477,-0.032660905,0.277506977,0.153729588,-0.006327471,0.341438442,0.203820601,-0.026819980,0.330947638,0.256277323,-0.035080563,0.313698292,0.282414317,-0.036558360,0.263399839,0.151775539,-0.031373683,0.294546336,0.239906341,-0.045268521,0.266681314,0.263029188,-0.039939396,0.247530729,0.251161069,-0.033918761,0.244562015,0.166731402,-0.057010781,0.253571004,0.250018030,-0.060859364,0.232578710,0.259903997,-0.052807130,0.219756752,0.239853397,-0.046235360
2025-11-27T00:20:48Z|0.600s,video,0.130042344,0.197290063,0.000000182,0.189921409,0.251317888,0.021110009,0.233963296,0.281309962,0.017760733,0.259195834,0.322655320,0.003664700,0.280063361,0.363094926,-0.009244910,0.280832738,0.179631025,0.028000953,0.326582402,0.217442945,0.008623184,0.330949992,0.265332490,-0.007564152,0.319368988,0.298546493,-0.016855573,0.276862919,0.163513020,0.002702110,0.338870138,0.212173536,-0.012742474,0.331288844,0.263872027,-0.019615335,0.315034449,0.290109396,-0.021700663,0.264844924,0.162984744,-0.023939705,0.303249151,0.244258761,-0.033607092,0.276713967,0.270204335,-0.026208047,0.255041122,0.261579037,-0.020489667,0.247398332,0.179611295,-0.051078133,0.257508129,0.260079056,-0.053676095,0.235785261,0.267832249,-0.045399867,0.220692679,0.247310728,-0.039306078
2025-11-27T00:20:50Z|0.700s,video,0.131441623,0.188187614,0.000000229,0.186924875,0.244004890,0.017045187,0.228047505,0.277328730,0.013005952,0.255500674,0.318430454,-0.000292931,0.275561899,0.356324077,-0.011713869,0.273951590,0.167617440,0.024494400,0.320347220,0.208529636,0.009503440,0.325134933,0.255863428,-0.003765716,0.316873431,0.289604485,-0.011687835,0.270743757,0.153805777,0.003570568,0.331956804,0.203897208,-0.008480898,0.328049242,0.257221401,-0.014399444,0.313190162,0.288803190,-0.016555393,0.261963040,0.157625556,-0.018402899,0.301984638,0.232046992,-0.025160113,0.279940218,0.261448860,-0.019132212,0.258115441,0.262192696,-0.014792080,0.249945894,0.179613993,-0.041144211,0.261663258,0.253257483,-0.041195858,0.240383908,0.260362625,-0.034116391,0.223113507,0.245666876,-0.029228805
2025-11-27T00:20:53Z|0.800s,video,0.133413315,0.182857439,0.000000256,0.185160205,0.239331335,0.012898341,0.225719571,0.274257183,0.008381000,0.251907587,0.315896273,-0.004084902,0.271834910,0.353622496,-0.014475533,0.273367077,0.164934576,0.022023730,0.316133410,0.211754277,0.006648982,0.321387351,0.257055044,-0.006640294,0.314764589,0.289314508,-0.014473871,0.271300197,0.150812119,0.003136320,0.329280436,0.203939706,-0.010938779,0.326590896,0.253712475,-0.017978990,0.313539743,0.283941656,-0.020083796,0.262536585,0.153995678,-0.017129216,0.294479936,0.235723168,-0.026709121,0.271154910,0.259501785,-0.022736868,0.251352787,0.256268442,-0.018380031,0.250695258,0.174687862,-0.038160205,0.259314805,0.250951201,-0.039826322,0.238653049,0.257056773,-0.033572111,0.224060342,0.241824016,-0.028554309
2025-11-27T00:20:55Z|0.900s,video,0.136129588,0.189559564,0.000000194,0.182681233,0.247345462,0.011184284,0.223899171,0.284721524,0.006304570,0.248654291,0.327730805,-0.006494283,0.266422302,0.367968500,-0.017253110,0.270063132,0.188121974,0.018027036,0.316626400,0.221236855,-0.001218131,0.321391225,0.265743256,-0.016951684,0.310458422,0.297197402,-0.025715476,0.269050509,0.171773821,-0.000738331,0.325468957,0.222619608,-0.019356444,0.320676863,0.273282409,-0.028467309,0.303930819,0.300253004,-0.031237187,0.261371076,0.170644298,-0.021114638,0.296194762,0.251353234,-0.033815507,0.272809952,0.276254356,-0.030257247,0.252821028,0.271357656,-0.025774097,0.248819038,0.185899585,-0.042474151,0.258818835,0.264240533,-0.046954840,0.238231152,0.270175755,-0.041392978,0.223234862,0.252614111,-0.036530603
