time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:25:31Z|0.000s,video,0.203336075,0.590880930,-0.000000203,0.237369895,0.548095107,0.015242375,0.266732484,0.519272566,0.014350610,0.291369259,0.506838083,0.007831501,0.311164558,0.506628871,0.002718539,0.257479906,0.429410219,0.012677601,0.310520083,0.452624232,0.006040667,0.311795592,0.488195568,0.000260399,0.302363694,0.506781042,-0.003478367,0.266057581,0.436417818,-0.001567165,0.321441442,0.465784192,-0.002687593,0.318203151,0.502128005,-0.003054202,0.306335092,0.524089217,-0.003646203,0.274605572,0.459007353,-0.015409218,0.320740044,0.499827027,-0.014469462,0.312527180,0.533024192,-0.011377173,0.297176301,0.552427649,-0.010396126,0.282541156,0.490169913,-0.029100658,0.307978779,0.532799423,-0.025479358,0.298238695,0.559524000,-0.020685805,0.283754677,0.573563337,-0.017721774
2025-11-27T00:25:33Z|0.100s,video,0.207428783,0.591748059,-0.000000177,0.221489996,0.535716832,0.017138051,0.249825835,0.495215416,0.018546430,0.275984675,0.485510498,0.014766658,0.294920683,0.489165962,0.012729713,0.249510974,0.431790769,0.017182523,0.296876937,0.442335069,0.012204952,0.299046516,0.476530939,0.006554473,0.288993657,0.495059282,0.002541234,0.264236778,0.441097438,0.002326269,0.310502887,0.454740465,0.002947109,0.307461321,0.486149013,0.001894338,0.295351207,0.501712501,0.000499288,0.278125197,0.464780241,-0.012026760,0.315749556,0.489485651,-0.007389677,0.306691557,0.516285181,-0.003445422,0.291937888,0.524040341,-0.003341017,0.291011035,0.496905923,-0.026357325,0.310920835,0.530826032,-0.020002408,0.298286974,0.551699638,-0.014976257,0.283063680,0.554309309,-0.012734139
2025-11-27T00:25:35Z|0.200s,video,0.207105771,0.575980723,-0.000000036,0.213118255,0.517557561,0.014638703,0.237679780,0.472904027,0.014937647,0.263795048,0.461259723,0.010241807,0.286246896,0.466279775,0.007049463,0.229291081,0.421119004,0.010308793,0.283486634,0.407642752,0.002011728,0.293291718,0.441593379,-0.003909141,0.287087500,0.465779215,-0.006003871,0.246370897,0.432654619,-0.002975585,0.293774664,0.422630638,-0.005042094,0.296691835,0.455245823,-0.006094215,0.286693305,0.477793157,-0.005938514,0.264308482,0.456362724,-0.015819974,0.298445880,0.459908187,-0.013530272,0.295756608,0.492219359,-0.008687258,0.284258902,0.512277663,-0.006052563,0.282140672,0.486107886,-0.028601764,0.300815254,0.502441764,-0.024042597,0.294964761,0.529185772,-0.017619910,0.284913540,0.546262085,-0.012794470
2025-11-27T00:25:38Z|0.300s,video,0.202345997,0.546376407,0.000000072,0.202203616,0.486197740,0.012203829,0.220249027,0.437537074,0.012514309,0.246246457,0.421973884,0.008554207,0.268012136,0.421893567,0.005715475,0.215020671,0.400498092,0.005572486,0.257669747,0.358357370,-0.005144156,0.281693488,0.383791983,-0.011686693,0.286841094,0.410024822,-0.013007125,0.231695250,0.412721217,-0.005512666,0.273124427,0.372262865,-0.010980031,0.290370584,0.401837260,-0.012305100,0.287834704,0.430710882,-0.011277949,0.249424830,0.435239375,-0.016363449,0.288293332,0.417453676,-0.019982563,0.296115428,0.448012203,-0.016427020,0.288000733,0.472331077,-0.012371683,0.267639309,0.464674145,-0.026556995,0.296628296,0.457987785,-0.025931666,0.297657102,0.478083044,-0.019764544,0.287755877,0.495742261,-0.014017210
2025-11-27T00:25:40Z|0.400s,video,0.209001750,0.520306945,0.000000252,0.195382521,0.462484449,0.012706704,0.202579468,0.412192106,0.012049258,0.220734268,0.380258352,0.008205459,0.239861101,0.361820996,0.004555210,0.200375453,0.387033701,-0.007780747,0.224050075,0.320696235,-0.014218297,0.244150057,0.299324155,-0.013606388,0.258687556,0.293644786,-0.010478863,0.222472623,0.395384371,-0.018394321,0.252656192,0.322872907,-0.021582730,0.273107260,0.309874177,-0.016653279,0.281282842,0.318280756,-0.010892835,0.244666100,0.414362311,-0.027077744,0.280491352,0.360540658,-0.027702836,0.290098608,0.366362453,-0.019025035,0.286511809,0.383346081,-0.011638187,0.264906287,0.440285683,-0.034753244,0.293210834,0.411597133,-0.033557143,0.294449836,0.419284761,-0.025132542,0.285252064,0.434095621,-0.016833181
2025-11-27T00:25:42Z|0.500s,video,0.208187431,0.521490455,0.000000282,0.191889241,0.461172551,0.005845163,0.196210772,0.409346193,0.002229587,0.212584347,0.375415713,-0.002347456,0.229784742,0.356499910,-0.007152176,0.191448018,0.389187545,-0.018243754,0.201404929,0.314292073,-0.029732462,0.210765794,0.273410439,-0.034278836,0.220455512,0.243964270,-0.035613075,0.216492757,0.398857445,-0.026855892,0.232779980,0.318718433,-0.036081448,0.245777249,0.272956312,-0.039190769,0.256480068,0.242549002,-0.040231004,0.241833627,0.416352183,-0.033541486,0.263417155,0.347551644,-0.040018864,0.276200742,0.313872069,-0.039928969,0.283338994,0.292680502,-0.038874369,0.264949918,0.439668149,-0.039275676,0.282263637,0.393104523,-0.041218389,0.288641393,0.370934933,-0.036433034,0.290908635,0.355693817,-0.031722926
2025-11-27T00:25:44Z|0.600s,video,0.216673166,0.513463199,0.000000320,0.193468764,0.447082520,0.010136077,0.196041733,0.390794635,0.001845898,0.211296439,0.350766122,-0.005687339,0.227652788,0.319064379,-0.014434349,0.186305478,0.380099475,-0.049392994,0.186540276,0.304979622,-0.072423451,0.188835889,0.257442951,-0.080975242,0.193324417,0.221280232,-0.083761565,0.211155802,0.390997559,-0.059960198,0.222007424,0.304944247,-0.087686427,0.230835050,0.251187801,-0.094089985,0.236999318,0.212602437,-0.095104761,0.237758726,0.406593502,-0.065597072,0.256835699,0.331406236,-0.086255006,0.266717196,0.282917798,-0.087406799,0.272187471,0.248232454,-0.084519900,0.261819005,0.426735103,-0.068112642,0.277808845,0.375787944,-0.075774126,0.285033047,0.343414187,-0.071046405,0.289567947,0.318424910,-0.065838307
2025-11-27T00:25:46Z|0.700s,video,0.220069364,0.530588388,0.000000309,0.190462783,0.476799548,0.002198483,0.185859993,0.416199893,-0.001364470,0.198165178,0.370060384,-0.004408675,0.213402480,0.341126144,-0.008468105,0.177912951,0.403794229,-0.026480911,0.174771264,0.318018496,-0.039358675,0.175240636,0.267409891,-0.043792013,0.178241462,0.228793740,-0.045426004,0.205109030,0.402748674,-0.033615634,0.206019640,0.311020106,-0.047339428,0.210074127,0.256100774,-0.053630542,0.214768872,0.213803634,-0.056695241,0.232305571,0.410276502,-0.038739253,0.243417218,0.326314241,-0.051300269,0.253267765,0.274699420,-0.058742523,0.259854406,0.235340849,-0.062661968,0.256350368,0.424671233,-0.042310659,0.269577265,0.368375301,-0.050816379,0.277340829,0.332984328,-0.053172801,0.282731593,0.303946406,-0.053870063
2025-11-27T00:25:49Z|0.800s,video,0.226298422,0.557961881,0.000000327,0.198884979,0.513765514,-0.000269690,0.190424249,0.450136214,-0.007274162,0.200810790,0.396542162,-0.014178253,0.215440601,0.361425340,-0.021389842,0.177836642,0.433609545,-0.028008625,0.179166302,0.338580638,-0.042736441,0.182472467,0.284336179,-0.049056910,0.185484260,0.244483024,-0.051809080,0.200408190,0.432486981,-0.035791080,0.204711407,0.330563694,-0.048611503,0.210948378,0.274080485,-0.053855646,0.216887221,0.233728141,-0.056905869,0.227347091,0.435361058,-0.042214070,0.236316919,0.338297397,-0.051622741,0.245144829,0.284299999,-0.055402625,0.251833588,0.246058062,-0.058030386,0.254597157,0.441417009,-0.048097733,0.262816310,0.372035414,-0.055014160,0.269352943,0.331234157,-0.056015138,0.274170935,0.298867494,-0.056174595
2025-11-27T00:25:51Z|0.900s,video,0.224300504,0.578169644,0.000000479,0.194851905,0.532652199,-0.007587042,0.183035433,0.467589676,-0.020762298,0.191270202,0.407272696,-0.032247122,0.204599455,0.365631998,-0.044524461,0.170912310,0.466526985,-0.049082093,0.176269010,0.361814111,-0.071852438,0.182315856,0.302008301,-0.081650726,0.188175797,0.257057279,-0.085952647,0.198264331,0.468696982,-0.055491302,0.204359531,0.354867876,-0.076276533,0.213842168,0.287764192,-0.084418565,0.222682431,0.238167688,-0.089342006,0.227735549,0.470194429,-0.060352836,0.230940312,0.367812842,-0.077008583,0.238845214,0.304896235,-0.084009804,0.244869053,0.258606791,-0.088233605,0.255376667,0.469999492,-0.064855486,0.257191718,0.393191278,-0.077148281,0.259997159,0.346403748,-0.081357323,0.261947721,0.308432817,-0.083871730
