time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:34:51Z|0.000s,video,0.269196033,0.499590397,0.000000037,0.292290092,0.474509448,-0.010486238,0.313483745,0.421630442,-0.017514853,0.329404354,0.377435863,-0.026766561,0.343045533,0.343135715,-0.035370637,0.319474339,0.370397717,0.002996512,0.329682380,0.324131489,-0.013825699,0.338831216,0.299948931,-0.022933442,0.341302752,0.294682145,-0.026419785,0.297545105,0.367206067,-0.001340596,0.311024696,0.309373379,-0.024315765,0.316128284,0.348068386,-0.030052947,0.313254356,0.377919167,-0.025337460,0.274554044,0.372495472,-0.008449624,0.285106927,0.328658879,-0.036372371,0.291753292,0.378750265,-0.031473566,0.288779378,0.409784973,-0.018442925,0.249047160,0.385888517,-0.016031381,0.260502428,0.359676540,-0.037898302,0.270203292,0.396660686,-0.033022370,0.269437104,0.422670066,-0.022545218
2025-11-27T00:34:53Z|0.100s,video,0.264276564,0.487952501,0.000000072,0.293092519,0.460318297,-0.007770316,0.311032236,0.407429636,-0.009427678,0.317820787,0.360653549,-0.013151606,0.319278926,0.325446695,-0.016587522,0.315518141,0.359323978,0.006650600,0.326936722,0.318157792,-0.004957989,0.335393310,0.294488251,-0.012859625,0.339644015,0.279784024,-0.017442185,0.294204444,0.354164004,0.002184319,0.302719474,0.295506090,-0.017165547,0.307875276,0.321958184,-0.024457613,0.308881164,0.347536623,-0.022704562,0.271035969,0.359376967,-0.004307888,0.278237969,0.309392929,-0.030511390,0.285001636,0.357362151,-0.028990591,0.284836382,0.392494261,-0.019066952,0.246600524,0.374844193,-0.010940694,0.255254239,0.343646795,-0.033862140,0.264287025,0.378648341,-0.032126140,0.266147375,0.408569485,-0.024191584
2025-11-27T00:34:55Z|0.200s,video,0.258641422,0.476459563,0.000000083,0.286152720,0.450515807,-0.012440732,0.302672893,0.400110811,-0.017011970,0.307109267,0.354192346,-0.022064313,0.301832408,0.317650288,-0.026480054,0.309443116,0.344482958,-0.003664810,0.331251055,0.293280870,-0.017157037,0.345289975,0.260644078,-0.025879098,0.353215635,0.229860649,-0.032316837,0.285625845,0.339832813,-0.007246593,0.293347836,0.285343587,-0.030807903,0.296429038,0.333362490,-0.037227754,0.294138610,0.367937237,-0.034615625,0.261341929,0.347237051,-0.012728985,0.269773841,0.303615868,-0.039681457,0.276622117,0.355357796,-0.034768984,0.273979068,0.387018830,-0.023203995,0.237069935,0.366105497,-0.018998824,0.247430384,0.338542044,-0.040261682,0.256448269,0.372708201,-0.035896730,0.254795015,0.396860152,-0.026931249
2025-11-27T00:34:58Z|0.300s,video,0.251008570,0.474076807,0.000000107,0.273603827,0.448485196,-0.011959122,0.289708197,0.395594180,-0.017121814,0.297462851,0.347805560,-0.023048842,0.291921079,0.307788253,-0.028703095,0.296959639,0.342329770,-0.007604247,0.324410170,0.280470192,-0.021860437,0.341514200,0.236247927,-0.031153265,0.350278407,0.197763979,-0.038044482,0.274227083,0.340031415,-0.011394934,0.273930520,0.280337155,-0.035643943,0.276165396,0.322582752,-0.041695677,0.274812609,0.360238373,-0.039186008,0.250908315,0.348523885,-0.016694533,0.253365457,0.301370859,-0.043945625,0.261108935,0.347648144,-0.038651623,0.260742754,0.382167161,-0.027149137,0.228821456,0.365658730,-0.022773160,0.235815197,0.331813902,-0.044928323,0.245765388,0.364267349,-0.040758334,0.246528998,0.393583417,-0.031935446
2025-11-27T00:35:00Z|0.400s,video,0.248931050,0.484645993,-0.000000049,0.271286964,0.444130868,-0.007296299,0.282673270,0.382800162,-0.009208180,0.284009933,0.333092541,-0.013189819,0.275538206,0.293292284,-0.016236871,0.279637337,0.338236749,0.012281244,0.282713234,0.295218468,0.001331835,0.285534769,0.275440484,-0.006849510,0.284048051,0.259605557,-0.012418156,0.258823305,0.337976843,0.007204831,0.256863832,0.284469604,-0.013332081,0.263572425,0.326495886,-0.021010879,0.264246821,0.357505411,-0.019518860,0.238072485,0.346582472,-0.000462519,0.240359038,0.303944677,-0.026650537,0.250275254,0.350806236,-0.024917848,0.249897748,0.379938960,-0.015582684,0.217909962,0.362428635,-0.008453139,0.228128865,0.336065114,-0.029194903,0.236872599,0.369653374,-0.026865650,0.235621482,0.392611623,-0.019732602
2025-11-27T00:35:02Z|0.500s,video,0.248151019,0.479576379,0.000000012,0.266417384,0.436103046,-0.010458747,0.271456897,0.376236141,-0.011836276,0.268079817,0.330124825,-0.014175113,0.258163542,0.292210907,-0.015188947,0.263343900,0.332157373,0.012577478,0.260518074,0.293215930,0.003437518,0.264273167,0.272074699,-0.003237362,0.264732361,0.258872658,-0.007276509,0.242543757,0.339864254,0.010863489,0.235031426,0.291605234,-0.008071722,0.247422814,0.332604498,-0.014807498,0.252582967,0.364607304,-0.011744625,0.224517614,0.357008249,0.006240323,0.221494555,0.322331101,-0.017250771,0.237148359,0.362996787,-0.016619639,0.240356922,0.386896342,-0.007837337,0.209441379,0.380905747,0.001052310,0.214577943,0.360614091,-0.016545491,0.226592451,0.387106448,-0.015096135,0.227859795,0.403633773,-0.008685255
2025-11-27T00:35:04Z|0.600s,video,0.240906224,0.475563169,0.000000064,0.260471463,0.446247727,-0.019814815,0.264677376,0.384899616,-0.025237104,0.256755978,0.335848749,-0.029075343,0.247956604,0.298530459,-0.031724136,0.270407647,0.333903939,-0.007685265,0.279175878,0.273249984,-0.023340171,0.282393217,0.228405535,-0.033303604,0.281768471,0.192085251,-0.040496603,0.247249126,0.340751737,-0.006764504,0.230286047,0.298127949,-0.035348125,0.237401858,0.342574418,-0.044165440,0.245252848,0.375670224,-0.041697610,0.226184562,0.357763886,-0.008514137,0.216668680,0.327962339,-0.040533155,0.228809759,0.372812241,-0.038247645,0.235453188,0.396726310,-0.027188541,0.209670618,0.382361531,-0.011429488,0.208331555,0.367197067,-0.036439065,0.219138682,0.399427503,-0.034719776,0.224177480,0.415893853,-0.026855230
2025-11-27T00:35:06Z|0.700s,video,0.245787039,0.498864651,0.000000011,0.261777133,0.466998011,-0.031252269,0.266420215,0.413979381,-0.043604936,0.257010609,0.367467999,-0.052273229,0.240152374,0.329386592,-0.058420442,0.273587376,0.346140534,-0.017377408,0.271600306,0.291246444,-0.038069788,0.267482728,0.254337370,-0.051043119,0.260949969,0.225693196,-0.059157282,0.246041641,0.356443137,-0.011451719,0.228930682,0.318365633,-0.039077207,0.235440776,0.361934960,-0.045734905,0.241362348,0.383817643,-0.042458393,0.223487362,0.375622600,-0.010102928,0.214155719,0.353764087,-0.041220486,0.228213474,0.395808309,-0.039773375,0.236161754,0.410414219,-0.030099304,0.206503734,0.400754631,-0.011307003,0.204501197,0.392885566,-0.035850845,0.217427880,0.421113372,-0.036087137,0.225236148,0.431434780,-0.030053811
2025-11-27T00:35:08Z|0.800s,video,0.249363899,0.522292852,-0.000000095,0.263631970,0.487093925,-0.022790685,0.267103225,0.434292138,-0.032038659,0.256436855,0.389171958,-0.039826486,0.239463478,0.355043083,-0.045320693,0.272682369,0.366888016,-0.005389204,0.269463122,0.317070782,-0.024620714,0.261980742,0.297183782,-0.037474468,0.254695594,0.285223901,-0.044846836,0.246576279,0.375812054,-0.003219431,0.230446696,0.337196380,-0.030455114,0.234712183,0.378905058,-0.040892452,0.241860017,0.402556717,-0.039918136,0.224662274,0.393289328,-0.004763233,0.212214187,0.367029160,-0.034608874,0.223208681,0.408772200,-0.035047509,0.232983425,0.428189516,-0.026344975,0.208554670,0.417882144,-0.007981874,0.201171413,0.405490756,-0.030662557,0.212052524,0.434408963,-0.030007308,0.222409382,0.448825628,-0.022937415
2025-11-27T00:35:10Z|0.900s,video,0.254202336,0.541961074,-0.000000135,0.268813491,0.505803227,-0.023570651,0.269807518,0.451233685,-0.032440677,0.253262401,0.406680524,-0.040065605,0.234172001,0.372723699,-0.044918343,0.278820276,0.380458623,-0.000557870,0.269987226,0.338574111,-0.021377807,0.263128847,0.328024209,-0.034672316,0.259189427,0.322599947,-0.041509937,0.252170563,0.388714820,0.001829214,0.231944352,0.351646572,-0.028887570,0.235718086,0.394747585,-0.041026689,0.244898871,0.419182032,-0.039206315,0.230194524,0.406012952,-0.000113854,0.213598892,0.380577445,-0.033783332,0.224106818,0.424963951,-0.035678077,0.236725241,0.445960104,-0.025915015,0.214337036,0.431108892,-0.003613764,0.203288585,0.419410527,-0.029549006,0.214721262,0.450997591,-0.030377230,0.229286790,0.466139913,-0.022757757
