time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:41:52Z|0.000s,video,0.222619146,0.634016395,0.000000284,0.245123342,0.585293770,-0.010138731,0.255962700,0.522020698,-0.017869160,0.271507293,0.471437901,-0.026729595,0.291018158,0.431104660,-0.035452969,0.229792967,0.465019554,-0.005642553,0.257031471,0.418464452,-0.026984958,0.282370538,0.401362449,-0.046317149,0.303003967,0.390504748,-0.058206752,0.213696852,0.453640580,-0.014145108,0.224300236,0.373160154,-0.030076195,0.238354683,0.320493221,-0.044631097,0.249870867,0.277922750,-0.054581709,0.195477068,0.459795505,-0.025821306,0.198905170,0.381379068,-0.042950492,0.211760551,0.329745471,-0.055204682,0.224510029,0.286598474,-0.062479243,0.177419350,0.481585354,-0.038557827,0.166244715,0.422136903,-0.052692790,0.162799433,0.377533674,-0.057631273,0.162328750,0.340568513,-0.060385536
2025-11-27T00:41:54Z|0.100s,video,0.225118488,0.646251202,0.000000242,0.256431669,0.594963431,-0.007924832,0.270690680,0.534192860,-0.012656189,0.284711748,0.480680436,-0.019437250,0.304340839,0.437380373,-0.026098130,0.239397153,0.469350964,0.005550950,0.261174649,0.411884248,-0.009539266,0.280215949,0.376189053,-0.024517193,0.296789825,0.346090615,-0.034209341,0.222964391,0.459980220,-0.002157192,0.235616043,0.390566379,-0.014411579,0.252923369,0.347018957,-0.026164858,0.269994110,0.310340166,-0.034517359,0.204493389,0.463807940,-0.013474549,0.210482970,0.392380893,-0.028040072,0.230083629,0.350928694,-0.036178079,0.251133144,0.318113923,-0.040678684,0.183735564,0.479464471,-0.026223401,0.171634436,0.415420294,-0.037334990,0.168919176,0.365846366,-0.040628754,0.170504123,0.323612213,-0.042768523
2025-11-27T00:41:56Z|0.200s,video,0.233391285,0.638763487,0.000000218,0.267432988,0.587273359,-0.004260289,0.281596541,0.524493158,-0.006531902,0.295686662,0.472885281,-0.012283436,0.314862490,0.430701345,-0.017957488,0.254175901,0.467634708,0.013855413,0.274020970,0.406728983,0.004295161,0.288826555,0.366721570,-0.005465211,0.300591290,0.333336920,-0.012205100,0.238345221,0.459170878,0.005035670,0.253547341,0.393303663,-0.009853212,0.276074231,0.376564443,-0.022790836,0.296829611,0.372966468,-0.029242959,0.219343156,0.458618522,-0.006564061,0.232474759,0.390233219,-0.022209035,0.258566618,0.380556196,-0.028349638,0.282098114,0.382034183,-0.029545231,0.198249802,0.466252595,-0.019297697,0.190430999,0.396860898,-0.027891137,0.193725720,0.348644167,-0.029645020,0.201956257,0.311001658,-0.030656070
2025-11-27T00:41:58Z|0.300s,video,0.239005074,0.624242485,-0.000000053,0.271077991,0.586342871,-0.009090570,0.293897212,0.525364816,-0.013593181,0.309870303,0.471165359,-0.020315561,0.328001618,0.433421850,-0.026442351,0.281768441,0.470754594,-0.000794694,0.297179669,0.399492502,-0.009584102,0.305981278,0.359964132,-0.011952418,0.311332852,0.323328495,-0.012753327,0.259936988,0.464375407,-0.005513929,0.270469964,0.411599576,-0.031502470,0.281073183,0.444519609,-0.041214231,0.285584152,0.479277730,-0.039983395,0.238348156,0.461986840,-0.011653649,0.251341850,0.403887272,-0.036145370,0.269088179,0.437658161,-0.037256218,0.278683245,0.471296102,-0.029863477,0.215338841,0.464605838,-0.018450167,0.214053109,0.399251223,-0.030138098,0.219738901,0.357533574,-0.031421922,0.226074114,0.317897558,-0.029488549
2025-11-27T00:42:00Z|0.400s,video,0.244054377,0.612210155,-0.000000032,0.276208311,0.585613608,-0.014500803,0.301052272,0.540226817,-0.021500899,0.311571747,0.493646324,-0.029123992,0.306396395,0.456185758,-0.035510641,0.292657256,0.472039372,-0.007680840,0.301929027,0.403650284,-0.017585650,0.307735205,0.361529291,-0.022084946,0.308927417,0.324171901,-0.024510864,0.269603968,0.466011405,-0.009141711,0.281245947,0.429989874,-0.035952780,0.291788280,0.471917212,-0.046246886,0.292617142,0.506702125,-0.045974743,0.246789992,0.463310421,-0.012231887,0.254775792,0.414757013,-0.035278913,0.270403415,0.451235592,-0.035458256,0.276597947,0.484145403,-0.028591309,0.222540438,0.465878040,-0.016706448,0.221425295,0.405749977,-0.028363945,0.226886526,0.369573474,-0.029658100,0.232044190,0.332517564,-0.027876634
2025-11-27T00:42:03Z|0.500s,video,0.243736818,0.615572512,0.000000027,0.273941278,0.592612863,-0.018608486,0.293206006,0.544373989,-0.026973952,0.298337579,0.495754838,-0.034809526,0.292006403,0.456545442,-0.040724993,0.290826172,0.476649880,-0.015497017,0.299862057,0.399904311,-0.029073346,0.305573136,0.352189869,-0.035307515,0.307119459,0.310409307,-0.038650252,0.269447714,0.469754457,-0.014594450,0.276112020,0.430921674,-0.041547205,0.288343489,0.471532822,-0.049988255,0.294524610,0.500224411,-0.049012829,0.246280417,0.465264648,-0.015773820,0.251017213,0.416490763,-0.040640898,0.265656263,0.458022594,-0.039255321,0.273039401,0.491964519,-0.030998241,0.220858604,0.464937001,-0.018651122,0.220711842,0.403458416,-0.033304777,0.225662351,0.366947025,-0.035117306,0.231500193,0.329783738,-0.033193044
2025-11-27T00:42:05Z|0.600s,video,0.245192468,0.612243772,0.000000039,0.278806746,0.583473325,-0.022755763,0.297930986,0.531177223,-0.033272728,0.293043733,0.485309780,-0.042707935,0.276285946,0.456787795,-0.050785340,0.290376276,0.464772910,-0.019671200,0.303027451,0.390404195,-0.034449197,0.311984718,0.344854414,-0.041206758,0.317618996,0.303789437,-0.044736248,0.264948726,0.462174565,-0.017839689,0.267580062,0.431198895,-0.048726499,0.277355611,0.478909254,-0.059237167,0.281814814,0.514971793,-0.058412161,0.239572942,0.463926435,-0.018163538,0.241462544,0.421298832,-0.046689980,0.255561113,0.462080300,-0.047636848,0.263638884,0.495693117,-0.039641023,0.214377865,0.468446732,-0.020314012,0.213974401,0.405858427,-0.035800178,0.218321338,0.367154151,-0.037853513,0.223519728,0.330170989,-0.035730250
2025-11-27T00:42:07Z|0.700s,video,0.245739296,0.620733500,0.000000055,0.280157030,0.594720662,-0.021578694,0.298034608,0.547465444,-0.031419933,0.299281597,0.502379119,-0.039803386,0.291697770,0.466086715,-0.046293017,0.292227745,0.481394231,-0.020847877,0.310126603,0.403019726,-0.034352183,0.319713414,0.357305884,-0.039905712,0.324873626,0.317134023,-0.042984534,0.268813819,0.474486768,-0.017818345,0.278256476,0.439927995,-0.041397285,0.290064722,0.472975254,-0.047569126,0.298450053,0.491807103,-0.047007259,0.242627352,0.471221179,-0.017040392,0.247204646,0.426545918,-0.042014152,0.258918226,0.467418671,-0.039869346,0.265619487,0.498954058,-0.031689804,0.215797007,0.470521957,-0.018050307,0.214703515,0.408954889,-0.034957625,0.218686625,0.369318634,-0.037897252,0.224155128,0.330852985,-0.036761068
2025-11-27T00:42:09Z|0.800s,video,0.244762346,0.623094440,-0.000000044,0.272768378,0.583251178,-0.010641267,0.280712545,0.524464130,-0.015598620,0.273180723,0.477247506,-0.021518784,0.257215410,0.445365667,-0.026791975,0.279412836,0.475490510,-0.010216801,0.301404655,0.400860965,-0.021026773,0.313885838,0.353300750,-0.025119549,0.321474969,0.309821337,-0.027215866,0.260741830,0.473533988,-0.012513493,0.279729396,0.448104918,-0.038026191,0.286928087,0.490550250,-0.046550170,0.288435578,0.519845128,-0.045944404,0.239732236,0.473168999,-0.016013395,0.254589200,0.444786638,-0.043294314,0.266853869,0.485716134,-0.045644838,0.270725340,0.519137502,-0.038785450,0.217583850,0.473628789,-0.019779630,0.214914471,0.405903369,-0.034974921,0.217947036,0.364193499,-0.037515514,0.221822068,0.328639984,-0.035990924
2025-11-27T00:42:33Z|0.000s,video,0.460391700,0.822764933,0.000000676,0.367985219,0.781421185,-0.034804173,0.340052307,0.687606931,-0.057715688,0.371946782,0.601759493,-0.088352486,0.428443015,0.559176266,-0.116950616,0.361166775,0.553879678,0.039336264,0.347435892,0.428400159,0.005566756,0.346092433,0.329508603,-0.024902178,0.356039643,0.251821846,-0.042473070,0.416077703,0.551743031,0.028129006,0.395617843,0.433162749,-0.047048107,0.396710962,0.524886549,-0.088067994,0.404702365,0.605416834,-0.088690542,0.462908357,0.542673886,0.007199064,0.441822439,0.428976774,-0.052558590,0.435714543,0.511678159,-0.064899303,0.442075998,0.583140492,-0.048197504,0.504860044,0.532373846,-0.018871302,0.501740158,0.413299620,-0.035369080,0.489089608,0.340345621,-0.036238149,0.478233516,0.274182558,-0.028601294
