time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:45:40Z|0.500s,video,0.203679353,0.519349694,-0.000000004,0.231044769,0.484783232,-0.017940348,0.245841682,0.434442669,-0.024418794,0.248030305,0.392178476,-0.030311728,0.239681348,0.357811511,-0.035056934,0.237948909,0.357955396,-0.006768109,0.242526144,0.300149590,-0.021429293,0.244358823,0.264449060,-0.031299870,0.242205739,0.238526583,-0.037591930,0.210788280,0.362527668,-0.007571276,0.200416148,0.304540575,-0.031421121,0.210397318,0.351974636,-0.037996862,0.216656089,0.386991918,-0.034658749,0.186887264,0.379945427,-0.010902897,0.180166900,0.343968868,-0.036408238,0.193474382,0.392169386,-0.030776063,0.197988212,0.419483870,-0.018647298,0.164599717,0.407440394,-0.015665838,0.162221387,0.377853036,-0.032504078,0.175093293,0.407825321,-0.025083801,0.179615110,0.428006828,-0.014287915
2025-11-27T00:45:41Z|0.600s,video,0.217265382,0.527639627,0.000000273,0.245269015,0.491052032,-0.017701328,0.255798608,0.429661125,-0.021128340,0.246593252,0.379189432,-0.024385974,0.227803633,0.344126433,-0.026624359,0.257757038,0.372201830,-0.002498796,0.274228513,0.314821362,-0.014153079,0.281631231,0.275821775,-0.022476470,0.286837608,0.241789252,-0.027884049,0.232031584,0.371117353,-0.002694785,0.227501273,0.308236718,-0.017499391,0.233978093,0.281361371,-0.024442203,0.241012082,0.260140598,-0.026560064,0.207087889,0.386689126,-0.005973150,0.205884725,0.346847922,-0.032581381,0.215712696,0.389133275,-0.032880343,0.219968274,0.420594573,-0.024763683,0.184741959,0.410399914,-0.010334908,0.187335670,0.379943788,-0.032807663,0.197475642,0.409491688,-0.030680301,0.200345561,0.433605760,-0.023383213
2025-11-27T00:45:43Z|0.700s,video,0.222581074,0.521057725,0.000000447,0.250325829,0.494174480,-0.032996990,0.261203319,0.433218002,-0.039903656,0.249910966,0.379337579,-0.042500507,0.228206515,0.343463987,-0.042763788,0.270664603,0.369216353,-0.014375669,0.293157160,0.300749719,-0.027725568,0.304573596,0.254653096,-0.037148211,0.313666135,0.216927707,-0.042820357,0.242297798,0.367713094,-0.006802881,0.238019601,0.292410642,-0.021485496,0.240273133,0.249325290,-0.031408876,0.244345397,0.215344384,-0.035363648,0.217910990,0.384142280,-0.003429158,0.214531541,0.349027991,-0.031941306,0.222924843,0.383976907,-0.039673287,0.227655500,0.410303265,-0.035487097,0.199284419,0.409460992,-0.002142533,0.199692667,0.382437646,-0.027720705,0.208848059,0.408605516,-0.030810351,0.211566553,0.432159901,-0.026345752
2025-11-27T00:45:45Z|0.800s,video,0.225241274,0.529425383,0.000000478,0.253717721,0.506479442,-0.034435123,0.266790509,0.449436188,-0.044284515,0.254559934,0.391879350,-0.050354011,0.231703252,0.352660298,-0.053756833,0.278571516,0.370393455,-0.013616076,0.302261651,0.305166572,-0.029368062,0.317244053,0.261729598,-0.040492468,0.327824205,0.227400959,-0.046669915,0.248571798,0.364471793,-0.007579301,0.243146300,0.280402005,-0.026158648,0.247303575,0.232287601,-0.037793867,0.251625121,0.194318622,-0.041222896,0.221626595,0.380448341,-0.006069962,0.217700332,0.344845980,-0.040220436,0.228706449,0.388692856,-0.048672751,0.234809443,0.419414967,-0.042314988,0.200431243,0.407583356,-0.006533793,0.202036262,0.378730625,-0.035677545,0.211363614,0.410852909,-0.037896909,0.215226710,0.436461747,-0.031184062
2025-11-27T00:45:47Z|0.900s,video,0.228267297,0.533994853,0.000000511,0.256496191,0.512147963,-0.029516017,0.268878192,0.457251787,-0.040210739,0.252688259,0.404495209,-0.048893314,0.230003595,0.366390437,-0.055161007,0.279554874,0.370981753,-0.015074464,0.307711691,0.312305808,-0.036254793,0.323814452,0.272686988,-0.049972601,0.334059030,0.240309998,-0.056946062,0.249437124,0.362704337,-0.014565814,0.243330881,0.269155413,-0.040023860,0.244294226,0.212293148,-0.055157211,0.244429976,0.165213138,-0.059125248,0.222038731,0.380612969,-0.017774010,0.214391232,0.352910817,-0.057168223,0.226090834,0.398159504,-0.065461941,0.233370498,0.427430868,-0.056987040,0.201222122,0.411776811,-0.022433301,0.201192111,0.393431783,-0.052710555,0.210474104,0.427808881,-0.052210860,0.215823159,0.452169895,-0.042383615
2025-11-27T00:45:49Z|1.000s,video,0.229000509,0.543890178,0.000000541,0.258604348,0.522207737,-0.030881679,0.270769268,0.469531775,-0.043201871,0.252035201,0.418098480,-0.053678423,0.227702096,0.379052907,-0.061650377,0.279278040,0.374215394,-0.016950237,0.306003392,0.310028851,-0.038701717,0.321905673,0.268740356,-0.052542616,0.331297189,0.234449178,-0.059665121,0.248409122,0.365045875,-0.016866526,0.242700696,0.266626298,-0.042453952,0.242094487,0.208195373,-0.057513982,0.240362376,0.161140725,-0.061616823,0.220017508,0.382948011,-0.020752536,0.211769521,0.353463978,-0.060130615,0.221976474,0.397448629,-0.069520481,0.228879422,0.426144242,-0.062119622,0.197450981,0.413886219,-0.026262745,0.197342470,0.399330467,-0.056946274,0.207809612,0.433982223,-0.057865553,0.215173110,0.457764924,-0.049242985
2025-11-27T00:45:51Z|1.100s,video,0.222390369,0.550295830,0.000000569,0.255870163,0.525028825,-0.028903106,0.267997712,0.474109709,-0.041432895,0.250210196,0.430125058,-0.053144198,0.223835528,0.395032525,-0.062658511,0.272467524,0.369129807,-0.017079460,0.298176140,0.301589489,-0.040579561,0.314409971,0.259193659,-0.055690531,0.324735224,0.222592190,-0.063826621,0.239133880,0.359813690,-0.019269194,0.232451007,0.259846866,-0.045705866,0.232521668,0.201418981,-0.061732985,0.231506824,0.154467538,-0.066786274,0.209539562,0.380222440,-0.025416816,0.204944268,0.351879805,-0.064802907,0.218081072,0.395470232,-0.075290814,0.225825936,0.425184518,-0.069071047,0.188252285,0.415342808,-0.033287808,0.193655789,0.407390624,-0.063260935,0.206304923,0.440129817,-0.065323688,0.213302836,0.462970793,-0.058050320
2025-11-27T00:45:54Z|1.200s,video,0.211943179,0.549747467,0.000000696,0.246170059,0.521985769,-0.032880217,0.258585185,0.481459618,-0.050693471,0.246631742,0.449262977,-0.067186184,0.222523883,0.417818636,-0.081831396,0.254180342,0.360095263,-0.028288910,0.279800534,0.286501467,-0.053637382,0.296405345,0.237530842,-0.070961118,0.306563914,0.196368992,-0.080493577,0.220459744,0.351594299,-0.029233392,0.212989226,0.245329276,-0.055124167,0.210809723,0.181698307,-0.070960343,0.207132936,0.133179054,-0.076769926,0.190770805,0.372245073,-0.033816718,0.180346206,0.331874430,-0.069872953,0.188198566,0.368725270,-0.078391604,0.193479046,0.398262173,-0.072267570,0.170085311,0.407652140,-0.040651180,0.169853613,0.385890037,-0.067455694,0.182027757,0.413347423,-0.066909850,0.191492274,0.438919127,-0.058314569
2025-11-27T00:45:56Z|1.300s,video,0.173500523,0.555818439,0.000000771,0.207285285,0.528057456,-0.037625618,0.218912289,0.489150733,-0.058705200,0.202279925,0.453731894,-0.077563554,0.173948318,0.420311272,-0.094444059,0.212020233,0.351831257,-0.036189340,0.235926047,0.267028481,-0.064345330,0.249248877,0.211209089,-0.082965098,0.257330805,0.165678605,-0.093267232,0.174875796,0.346687615,-0.036320575,0.159006208,0.237000719,-0.065333821,0.150886521,0.167764753,-0.083490990,0.144264907,0.113576889,-0.091032982,0.144095123,0.370513290,-0.040199813,0.129252076,0.329849631,-0.079758078,0.136656702,0.367018819,-0.090118989,0.142407969,0.398639202,-0.085167229,0.124685340,0.410399765,-0.046645653,0.118989147,0.393831223,-0.078752160,0.131107002,0.425559700,-0.080562845,0.141277134,0.456209064,-0.072764046
2025-11-27T00:45:58Z|1.400s,video,0.167847753,0.571972847,0.000000699,0.205357611,0.541944146,-0.043037158,0.214654222,0.489723951,-0.062595941,0.183016270,0.443176031,-0.078937374,0.147967637,0.405626535,-0.092531130,0.214455634,0.361481130,-0.033552866,0.237582952,0.273035288,-0.061325286,0.249222532,0.216616899,-0.078821398,0.254986018,0.170030296,-0.088447124,0.174278125,0.354839236,-0.031416636,0.157619521,0.241064757,-0.063160516,0.148795605,0.169529453,-0.082284123,0.141468719,0.112245262,-0.089038722,0.141116917,0.380941391,-0.034088336,0.130638689,0.345241040,-0.079917967,0.141181216,0.389093876,-0.092490055,0.147639871,0.419294626,-0.086188413,0.117402494,0.420441240,-0.039375417,0.113175809,0.398200870,-0.075599350,0.126283586,0.430395246,-0.078496888,0.136155963,0.457179248,-0.070305414
