time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:48:38Z|0.000s,video,0.202634618,0.577422321,0.000000161,0.236105993,0.536300302,-0.008756964,0.251073986,0.484665036,-0.012701453,0.255037844,0.444313139,-0.017381202,0.246575505,0.415600985,-0.021766379,0.250838459,0.421035945,-0.002645698,0.260669351,0.358091354,-0.010481700,0.262849718,0.317788482,-0.017242866,0.262671947,0.291259706,-0.021221351,0.224958956,0.413741112,-0.004352439,0.224435136,0.350352943,-0.011816542,0.221190408,0.335079312,-0.014671050,0.217158929,0.344698846,-0.013721679,0.198575944,0.421493381,-0.007801682,0.193078041,0.363291740,-0.013729973,0.193620443,0.346209347,-0.011880509,0.195215270,0.350020319,-0.008632312,0.173755735,0.439437538,-0.012590455,0.166269302,0.401557565,-0.017290728,0.169287622,0.393707484,-0.013782588,0.174681664,0.401461154,-0.008627626
2025-11-27T00:48:40Z|0.100s,video,0.205423936,0.577979922,0.000000297,0.210853115,0.538707674,-0.019593729,0.211359903,0.482439816,-0.027097955,0.203850850,0.436781257,-0.032152269,0.189542994,0.402291149,-0.036695916,0.237543285,0.421886563,-0.016079644,0.248890579,0.354758561,-0.028115271,0.254895478,0.312774837,-0.038025282,0.259922802,0.278064162,-0.045330819,0.226860210,0.416237295,-0.015838807,0.230597794,0.343959451,-0.025906986,0.232124880,0.297413558,-0.035233878,0.235044613,0.264119327,-0.041137025,0.215202510,0.424484372,-0.018039495,0.211862281,0.360050321,-0.032431528,0.211466134,0.316542983,-0.045020621,0.214846298,0.284463406,-0.053051222,0.204764232,0.443915516,-0.021723693,0.196438685,0.412894249,-0.039144501,0.191713363,0.408440351,-0.046631079,0.190841392,0.412512094,-0.049959112
2025-11-27T00:48:42Z|0.200s,video,0.210468397,0.575693607,0.000000474,0.237655923,0.548072696,-0.041460305,0.246706471,0.486658514,-0.055328999,0.228531152,0.432123065,-0.061706211,0.201218784,0.393350929,-0.067847826,0.260075808,0.418696344,-0.036615390,0.277662992,0.347203881,-0.053572655,0.285437435,0.299997032,-0.067975245,0.291472226,0.260477424,-0.078480944,0.233297437,0.406762749,-0.026295017,0.243089050,0.327052265,-0.039713286,0.246952400,0.275236219,-0.056203865,0.251494855,0.235095114,-0.067966998,0.207507238,0.414007694,-0.019369893,0.203569204,0.343014717,-0.038357560,0.201252475,0.293067217,-0.059257124,0.201718748,0.255683005,-0.073242538,0.185897365,0.436264694,-0.015057206,0.179245561,0.394689888,-0.035720631,0.179633215,0.387332886,-0.046666127,0.179929748,0.390107691,-0.053255271
2025-11-27T00:48:44Z|0.300s,video,0.215435341,0.595717788,0.000000405,0.244490102,0.567245662,-0.024907479,0.255835921,0.513517141,-0.034799118,0.245777041,0.467893124,-0.041784301,0.225554809,0.429277182,-0.048683472,0.266179532,0.424315304,-0.021328796,0.288608462,0.355544388,-0.036344986,0.298707753,0.309954226,-0.048502598,0.305653334,0.271834016,-0.057679046,0.238734558,0.411600173,-0.021157974,0.251710296,0.336855382,-0.034273356,0.259209275,0.288547426,-0.047815245,0.265533924,0.252376974,-0.056745615,0.212280333,0.422476977,-0.023867583,0.206260756,0.348178655,-0.042707954,0.203048766,0.295458347,-0.061471500,0.202202037,0.252810240,-0.073584095,0.190921605,0.450999200,-0.027989108,0.187303737,0.412052482,-0.049382567,0.188940704,0.396593213,-0.060768913,0.191262916,0.386497617,-0.067134887
2025-11-27T00:48:46Z|0.400s,video,0.216028079,0.597321808,0.000000456,0.244199917,0.571479201,-0.025138311,0.256736279,0.523119926,-0.035843298,0.246589512,0.477983356,-0.043948453,0.228336737,0.439904213,-0.051932018,0.264978766,0.424361676,-0.021757318,0.289667875,0.354035616,-0.036038563,0.301610619,0.308181465,-0.047556017,0.308928013,0.269737720,-0.056045864,0.237650618,0.411174178,-0.021030165,0.253149122,0.335332572,-0.033336218,0.261678517,0.287774622,-0.045484733,0.266880274,0.252853364,-0.053597145,0.211232424,0.420108438,-0.023207517,0.203959644,0.344275028,-0.040891886,0.201016814,0.293495148,-0.057335142,0.199741855,0.254197180,-0.067893974,0.189168066,0.445319295,-0.026980616,0.182157308,0.397680312,-0.046547845,0.185972646,0.390873492,-0.054940663,0.191507116,0.393198371,-0.058994818
2025-11-27T00:48:48Z|0.500s,video,0.211503878,0.603259683,0.000000519,0.239576772,0.580930352,-0.029678458,0.250737607,0.535053313,-0.042385779,0.240691528,0.492730588,-0.051787246,0.222659960,0.453879237,-0.060617425,0.262698948,0.425984949,-0.026437072,0.287553817,0.352428496,-0.042685039,0.299671739,0.304840088,-0.055238053,0.307194203,0.265714109,-0.064341672,0.233683556,0.410041124,-0.024762729,0.248941869,0.328516126,-0.038649131,0.257260919,0.275785923,-0.052503906,0.263252825,0.236790508,-0.061516207,0.205520466,0.419609159,-0.026439952,0.198103830,0.341815352,-0.045437697,0.192039177,0.288595051,-0.065116331,0.188640013,0.246779233,-0.077686101,0.182004526,0.448134303,-0.030052464,0.175172031,0.404529333,-0.051242560,0.175699949,0.391194880,-0.063132957,0.178867638,0.384318501,-0.069670185
2025-11-27T00:48:50Z|0.600s,video,0.206416488,0.606857181,0.000000610,0.235176563,0.591525137,-0.036979456,0.247086108,0.555197597,-0.054223828,0.232224062,0.516710997,-0.066659287,0.209248140,0.478335619,-0.078921258,0.253728300,0.431393147,-0.037555370,0.277700424,0.353781343,-0.056080014,0.290054917,0.305227757,-0.069857188,0.297039300,0.263212800,-0.079481788,0.222148180,0.410957426,-0.033261884,0.237209409,0.321679235,-0.049117919,0.243674234,0.264313400,-0.064253382,0.247573271,0.220646918,-0.073671274,0.192433566,0.415574312,-0.032330979,0.180778459,0.333066046,-0.053857688,0.172339022,0.278761715,-0.075176686,0.167495340,0.238580048,-0.088608526,0.167665511,0.439431518,-0.033740096,0.158318400,0.398179114,-0.057107411,0.159758598,0.404341578,-0.067560241,0.164260894,0.420379907,-0.072450720
2025-11-27T00:48:52Z|0.700s,video,0.198562503,0.621897578,0.000000718,0.226585105,0.604318261,-0.037866008,0.238700569,0.572826087,-0.058173012,0.223188788,0.541099489,-0.074201956,0.196600527,0.511123002,-0.090496086,0.234757274,0.432994246,-0.042239964,0.257167190,0.351626098,-0.064029098,0.269242436,0.299119949,-0.080458611,0.275960267,0.254409194,-0.091436930,0.200277954,0.416037649,-0.039729685,0.210730627,0.316869706,-0.057789519,0.215477079,0.251962066,-0.074018873,0.217811584,0.202696592,-0.083741456,0.170382112,0.428009540,-0.040350355,0.151029766,0.341662019,-0.063267872,0.138890356,0.288205147,-0.083817624,0.132355928,0.247223243,-0.096297219,0.146017522,0.462407172,-0.043487366,0.131664470,0.422345668,-0.067478314,0.132225662,0.429818839,-0.076338015,0.138359874,0.445060223,-0.079627566
2025-11-27T00:48:54Z|0.800s,video,0.181082577,0.641635180,0.000000776,0.209991127,0.622139931,-0.040463347,0.220520288,0.588721752,-0.063048311,0.190163210,0.557170868,-0.080782987,0.153660387,0.525246501,-0.099310428,0.209315836,0.445695549,-0.047327422,0.229315832,0.359402746,-0.071661428,0.239353016,0.305085480,-0.089802444,0.244996965,0.257588923,-0.102253832,0.170982897,0.430007964,-0.046000641,0.174920917,0.321315974,-0.066034429,0.174962789,0.252932549,-0.084248155,0.175165102,0.199804872,-0.095577233,0.139488101,0.446613282,-0.047807928,0.115233943,0.356027782,-0.076275438,0.100019924,0.300335109,-0.101501890,0.091487788,0.257047534,-0.117479049,0.115079664,0.487177134,-0.051698439,0.103443339,0.458947927,-0.084403872,0.109412447,0.479389548,-0.096913345,0.119934723,0.503468096,-0.102042258
2025-11-27T00:48:56Z|0.900s,video,0.180601820,0.650427103,0.000000740,0.209164828,0.631671906,-0.042177483,0.219250783,0.598541021,-0.066167518,0.187346429,0.566753626,-0.084825195,0.148679346,0.536896229,-0.104436904,0.205264017,0.454744339,-0.051332474,0.225231841,0.365244031,-0.076690421,0.235683113,0.310557187,-0.095277302,0.241289169,0.262579024,-0.107949682,0.165390819,0.439116687,-0.049488403,0.166725039,0.327362090,-0.070398659,0.163602591,0.255659193,-0.089131005,0.160252348,0.199258476,-0.101054259,0.133808941,0.455997884,-0.050748311,0.106428504,0.366151392,-0.079494424,0.088100061,0.308877081,-0.104682155,0.077656046,0.262196302,-0.121016473,0.110357344,0.495799065,-0.054266263,0.096496858,0.462627769,-0.086147748,0.100348353,0.484925032,-0.097403824,0.110322118,0.511806548,-0.102080941
