time,capture_type,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
2025-11-27T00:58:32Z|0.000s,video,0.217240214,0.572515965,0.000000521,0.250806481,0.548408747,-0.017712476,0.267317235,0.487790167,-0.022124004,0.262415946,0.430833459,-0.026297117,0.238677293,0.392801821,-0.029021366,0.267924428,0.445625871,-0.003191411,0.287278801,0.387401074,-0.015933447,0.296146035,0.351660848,-0.023214340,0.300897956,0.316221148,-0.027724652,0.244079635,0.430566609,-0.005211102,0.261933774,0.350248694,-0.027789019,0.277980804,0.304161191,-0.039132304,0.289500743,0.261096567,-0.042110644,0.217502207,0.435054958,-0.009569954,0.223209307,0.389898896,-0.045806076,0.228321984,0.449140906,-0.045371156,0.226859301,0.485812485,-0.032629889,0.191395506,0.448939949,-0.014349380,0.201969936,0.415978402,-0.043078478,0.209453166,0.460350424,-0.038494147,0.206698298,0.487946421,-0.027527567
2025-11-27T00:58:34Z|0.100s,video,0.219929710,0.581676543,0.000000523,0.252171636,0.552876592,-0.022614414,0.269758612,0.487902045,-0.028950926,0.261870652,0.428051442,-0.033843029,0.234474450,0.390450388,-0.036562532,0.274629414,0.445265412,-0.011842777,0.295406967,0.370917529,-0.028627718,0.306426764,0.327582836,-0.037596431,0.314068824,0.286838263,-0.042082679,0.250074118,0.434245884,-0.011885198,0.271530509,0.350062728,-0.037355866,0.288353682,0.299340844,-0.050846308,0.301059067,0.253347337,-0.054948363,0.222641915,0.439935327,-0.014257808,0.227282062,0.394082218,-0.052000023,0.231047601,0.452150345,-0.052344434,0.230240405,0.488116741,-0.039170831,0.196660429,0.455985725,-0.017528512,0.206617907,0.417818516,-0.044974234,0.214026585,0.460643381,-0.038954366,0.210750535,0.488005310,-0.026502868
2025-11-27T00:58:36Z|0.200s,video,0.224352032,0.595419407,0.000000515,0.257263005,0.568415999,-0.020950394,0.275549144,0.503418207,-0.027922492,0.269653261,0.442648321,-0.034630395,0.245944262,0.400585115,-0.039219420,0.281319708,0.452446491,-0.010888607,0.304097235,0.377702773,-0.028756173,0.315130949,0.332426131,-0.038008094,0.323547661,0.290766954,-0.042479772,0.256678045,0.441241503,-0.013088487,0.278874069,0.355068207,-0.040249377,0.295358926,0.301176071,-0.054124165,0.308582127,0.254535973,-0.058198038,0.228947058,0.447014153,-0.017707476,0.234435409,0.401356012,-0.057244714,0.236891001,0.459464878,-0.057728384,0.235719070,0.497252077,-0.044213928,0.202651262,0.462657779,-0.023162069,0.213212430,0.423420131,-0.051571075,0.220259771,0.466289699,-0.045523405,0.217263579,0.494800091,-0.032793131
2025-11-27T00:58:38Z|0.300s,video,0.224303544,0.603366613,0.000000474,0.257543355,0.570540667,-0.020327868,0.277118474,0.504988909,-0.026000015,0.272177935,0.441696227,-0.030569268,0.246062830,0.402428806,-0.032734174,0.285072446,0.455663949,-0.009943066,0.308139920,0.378574073,-0.025535271,0.319114685,0.337443620,-0.033587642,0.327243119,0.297175348,-0.037649680,0.259845585,0.442980707,-0.010731195,0.283042252,0.356854945,-0.036285527,0.299517900,0.307749450,-0.050177153,0.313160390,0.262233019,-0.054847080,0.231817707,0.449254662,-0.013337643,0.236661613,0.402841389,-0.048802532,0.239276797,0.461446017,-0.048803058,0.238808736,0.498310417,-0.036458492,0.204829097,0.467851639,-0.016777566,0.213429451,0.429584950,-0.041512415,0.220406845,0.471969306,-0.034708194,0.217774332,0.498559326,-0.022442101
2025-11-27T00:58:40Z|0.400s,video,0.222508326,0.606108546,0.000000455,0.253938317,0.568052411,-0.026447117,0.269129962,0.500932932,-0.033514213,0.263158321,0.437767416,-0.037248783,0.238827601,0.397203982,-0.037346151,0.278818011,0.451769680,-0.016713252,0.300417483,0.369177818,-0.032272696,0.311154306,0.327537894,-0.040375877,0.317575186,0.286884457,-0.044673972,0.253309280,0.440112948,-0.013673929,0.273898125,0.351385951,-0.036903743,0.288794339,0.305711150,-0.049255546,0.300839901,0.258483350,-0.053966820,0.226391986,0.446551383,-0.012986843,0.230719939,0.401432723,-0.043887652,0.233721673,0.458057642,-0.043223571,0.234175682,0.489916444,-0.032374952,0.200460523,0.466661692,-0.014128190,0.206458166,0.429597348,-0.035038028,0.214714333,0.469246536,-0.028523350,0.213257879,0.494110823,-0.017941348
2025-11-27T00:58:42Z|0.500s,video,0.200764120,0.599885464,0.000000427,0.232647523,0.557670176,-0.018586889,0.246714100,0.495388985,-0.023686027,0.242458686,0.434190780,-0.027241219,0.220349178,0.395303875,-0.028164962,0.257498115,0.445237160,-0.017046321,0.273503333,0.356333315,-0.033933770,0.280104786,0.311786294,-0.042674024,0.284930795,0.268084526,-0.046795540,0.233648956,0.434776455,-0.017341046,0.254764438,0.344962955,-0.042048130,0.264508247,0.290545851,-0.055345558,0.273277491,0.237786457,-0.060812671,0.208242357,0.439360857,-0.018800203,0.207124934,0.389129907,-0.048165258,0.207490891,0.441584766,-0.046990220,0.210873902,0.474985987,-0.036078423,0.184197530,0.460669130,-0.021482531,0.184683710,0.416458309,-0.039346915,0.191063061,0.455028951,-0.031062871,0.192895263,0.484965324,-0.019330783
2025-11-27T00:58:44Z|0.600s,video,0.170693040,0.584215641,0.000000541,0.192531213,0.552820325,-0.039842378,0.202901632,0.490244299,-0.054163910,0.195349857,0.433959752,-0.063054942,0.175611764,0.396570027,-0.069518395,0.225374982,0.423484594,-0.035992961,0.233234212,0.334556907,-0.059420720,0.236771703,0.282266945,-0.072953016,0.238636941,0.236381918,-0.079174347,0.205225408,0.418178529,-0.028359244,0.224583626,0.324096322,-0.053471588,0.228639632,0.267014802,-0.066286482,0.232497767,0.217536256,-0.069819272,0.182517380,0.424391031,-0.024684370,0.173827335,0.373454779,-0.059426364,0.166683584,0.420214921,-0.062065121,0.170823455,0.451766819,-0.051585194,0.161277652,0.440614790,-0.023722395,0.152162194,0.395040810,-0.046638470,0.153081134,0.429691315,-0.040570866,0.157980859,0.461402565,-0.028799729
2025-11-27T00:58:45Z|0.700s,video,0.160184801,0.565177381,0.000000417,0.184359953,0.530058920,-0.045860343,0.194896191,0.466983110,-0.056662630,0.186089069,0.410946012,-0.058657959,0.161132723,0.381639063,-0.057369769,0.213819325,0.397328287,-0.038378987,0.221657261,0.311261505,-0.059576537,0.221979588,0.262844443,-0.073607817,0.221573934,0.217708796,-0.080505282,0.190465227,0.393467128,-0.025564177,0.203086182,0.305195749,-0.044704773,0.202109680,0.246131778,-0.057787471,0.202772379,0.195114493,-0.063331321,0.165638566,0.401770294,-0.017468354,0.153304905,0.360158265,-0.050122589,0.150829822,0.408993334,-0.060400419,0.159081489,0.444182098,-0.055740327,0.145899802,0.423496336,-0.012337948,0.132663801,0.385227084,-0.036899511,0.138433471,0.419416487,-0.037185434,0.146561295,0.456426263,-0.029953014
2025-11-27T00:58:47Z|0.800s,video,0.153065503,0.555468857,0.000000391,0.181082726,0.523540676,-0.043494534,0.189615458,0.456337273,-0.051074967,0.174687415,0.403947741,-0.050878882,0.153641790,0.367539525,-0.046406887,0.204800695,0.385907680,-0.029602282,0.209462553,0.304443777,-0.053599082,0.208275646,0.255873919,-0.068166137,0.206981838,0.212579161,-0.074060999,0.179785654,0.382338941,-0.019527521,0.187769815,0.291710109,-0.040663958,0.186958909,0.232947007,-0.052067757,0.189839810,0.182415828,-0.054386839,0.154508129,0.391170621,-0.015557952,0.144034237,0.358010322,-0.053040851,0.141295210,0.412095070,-0.062797524,0.149312779,0.442888677,-0.055121455,0.135368109,0.412214100,-0.014504715,0.122752875,0.381599009,-0.041021392,0.126745835,0.420772702,-0.040347181,0.133580893,0.451056391,-0.031275034
2025-11-27T00:58:49Z|0.900s,video,0.157089636,0.561690629,0.000000424,0.177088916,0.534743309,-0.071184255,0.186232910,0.470566541,-0.088204712,0.177530438,0.416651487,-0.090471096,0.160929739,0.371187389,-0.087727256,0.211753741,0.394559324,-0.057166863,0.213393480,0.312949121,-0.084335536,0.210892037,0.262218177,-0.100689299,0.209827229,0.217205778,-0.107505754,0.187030137,0.389558792,-0.031087102,0.191981733,0.299637824,-0.053575326,0.188638136,0.243574068,-0.064532734,0.189061537,0.196788818,-0.066564269,0.162380695,0.395021826,-0.013116247,0.145491362,0.362225056,-0.051518839,0.142915875,0.416088670,-0.063574456,0.153559059,0.445103467,-0.057955991,0.144346491,0.407717913,-0.000322654,0.125882030,0.382823139,-0.028645653,0.128292814,0.421659589,-0.032570448,0.136938483,0.449789286,-0.027232323
